15	53626040	66459622	qD1	gpos100	NA
15	66459622	68751333	qD2	gneg	NA
15	68751333	77459835	qD3	gpos66	NA
15	77459835	83876627	qE1	gneg	NA
15	83876627	87085022	qE2	gpos33	NA
15	87085022	95793524	qE3	gneg	NA
15	95793524	101293631	qF1	gpos66	NA
15	101293631	102210316	qF2	gneg	NA
15	102210316	104043685	qF3	gpos33	104043685
16	0	15432649	qA1	gpos100	NA
16	15432649	16367961	qA2	gneg	NA
16	16367961	20576865	qA3	gpos33	NA
16	20576865	26188738	qB1	gneg	NA
16	26188738	32268266	qB2	gpos33	NA
16	32268266	38347795	qB3	gneg	NA
16	38347795	44894979	qB4	gpos33	NA
16	44894979	53780444	qB5	gneg	NA
16	53780444	57989348	qC1.1	gpos66	NA
16	57989348	58924660	qC1.2	gneg	NA
16	58924660	66874813	qC1.3	gpos66	NA
16	66874813	70616061	qC2	gneg	NA
16	70616061	79033870	qC3.1	gpos100	NA
16	79033870	79501526	qC3.2	gneg	NA
16	79501526	91660583	qC3.3	gpos100	NA
16	91660583	98207768	qC4	gneg	98207768
17	0	13943085	qA1	gpos100	NA
17	13943085	16121692	qA2	gneg	NA
17	16121692	17428857	qA3.1	gpos33	NA
17	17428857	21786071	qA3.2	gneg	NA
17	21786071	31371942	qA3.3	gpos66	NA
17	31371942	40086371	qB1	gneg	NA
17	40086371	41393535	qB2	gpos33	NA
17	41393535	45750749	qB3	gneg	NA
17	45750749	55772342	qC	gpos66	NA
17	55772342	60129556	qD	gneg	NA
17	60129556	67972542	qE1.1	gpos100	NA
17	67972542	68843985	qE1.2	gneg	NA
17	68843985	73201199	qE1.3	gpos100	NA
17	73201199	78429856	qE2	gneg	NA
17	78429856	82787071	qE3	gpos33	NA
17	82787071	88887171	qE4	gneg	NA
17	88887171	94987271	qE5	gpos33	94987271
18	0	19406146	qA1	gpos100	NA
18	19406146	29531091	qA2	gneg	NA
18	29531091	35437310	qB1	gpos66	NA
18	35437310	37124801	qB2	gneg	NA
18	37124801	45562255	qB3	gpos100	NA
18	45562255	49780983	qC	gneg	NA
18	49780983	53999710	qD1	gpos100	NA
18	53999710	54421583	qD2	gneg	NA
18	54421583	60749674	qD3	gpos100	NA
18	60749674	67921511	qE1	gneg	NA
18	67921511	75093347	qE2	gpos33	NA
18	75093347	83530802	qE3	gneg	NA
18	83530802	90702639	qE4	gpos33	90702639
19	0	16680094	qA	gpos100	NA
19	16680094	25630388	qB	gneg	NA
19	25630388	34987514	qC1	gpos66	NA
19	34987514	38242166	qC2	gneg	NA
19	38242166	47599292	qC3	gpos66	NA
19	47599292	51667608	qD1	gneg	NA
19	51667608	58990576	qD2	gpos33	NA
19	58990576	61431566	qD3	gneg	61431566
2	0	14080919	qA1	gpos100	NA
2	14080919	16427739	qA2	gneg	NA
2	16427739	29100566	qA3	gpos33	NA
2	29100566	48344489	qB	gneg	NA
2	48344489	60547953	qC1.1	gpos100	NA
2	60547953	61017317	qC1.2	gneg	NA
2	61017317	68527140	qC1.3	gpos100	NA
2	68527140	71812688	qC2	gneg	NA
2	71812688	81199968	qC3	gpos66	NA
2	81199968	88709792	qD	gneg	NA
2	88709792	101382619	qE1	gpos100	NA
2	101382619	105137531	qE2	gneg	NA
2	105137531	113116719	qE3	gpos33	NA
2	113116719	115932902	qE4	gneg	NA
2	115932902	123912090	qE5	gpos66	NA
2	123912090	131891278	qF1	gneg	NA
2	131891278	134707462	qF2	gpos33	NA
2	134707462	141278557	qF3	gneg	NA
2	141278557	146910925	qG1	gpos100	NA
2	146910925	147849653	qG2	gneg	NA
2	147849653	152543293	qG3	gpos100	NA
2	152543293	159114389	qH1	gneg	NA
2	159114389	163338664	qH2	gpos33	NA
2	163338664	173664672	qH3	gneg	NA
2	173664672	182113224	qH4	gpos33	182113224
3	0	18541182	qA1	gpos100	NA
3	18541182	20492885	qA2	gneg	NA
3	20492885	35618587	qA3	gpos66	NA
3	35618587	46840881	qB	gneg	NA
3	46840881	56599399	qC	gpos100	NA
3	56599399	60990731	qD	gneg	NA
3	60990731	69773397	qE1	gpos33	NA
3	69773397	72700952	qE2	gneg	NA
3	72700952	83923246	qE3	gpos100	NA
3	83923246	93193838	qF1	gneg	NA
3	93193838	97585170	qF2.1	gpos33	NA
3	97585170	106367836	qF2.2	gneg	NA
3	106367836	108319539	qF2.3	gpos33	NA
3	108319539	115150501	qF3	gneg	NA
3	115150501	126860721	qG1	gpos100	NA
3	126860721	128812425	qG2	gneg	NA
3	128812425	138570942	qG3	gpos66	NA
3	138570942	143938126	qH1	gneg	NA
3	143938126	148329459	qH2	gpos33	NA
3	148329459	154184569	qH3	gneg	NA
3	154184569	160039680	qH4	gpos33	160039680
4	0	14882673	qA1	gpos100	NA
4	14882673	17763191	qA2	gneg	NA
4	17763191	28325088	qA3	gpos100	NA
4	28325088	30245433	qA4	gneg	NA
4	30245433	43687848	qA5	gpos66	NA
4	43687848	51849314	qB1	gneg	NA
4	51849314	55209918	qB2	gpos33	NA
4	55209918	63371384	qB3	gneg	NA
4	63371384	69612505	qC1	gpos33	NA
4	69612505	72012936	qC2	gneg	NA
4	72012936	84015092	qC3	gpos100	NA
4	84015092	89776127	qC4	gneg	NA
4	89776127	97457507	qC5	gpos66	NA
4	97457507	105618973	qC6	gneg	NA
4	105618973	110899922	qC7	gpos66	NA
4	110899922	117621130	qD1	gneg	NA
4	117621130	120501647	qD2.1	gpos33	NA
4	120501647	131063544	qD2.2	gneg	NA
4	131063544	133944062	qD2.3	gpos33	NA
4	133944062	141625442	qD3	gneg	NA
4	141625442	147866563	qE1	gpos100	NA
4	147866563	156508116	qE2	gneg	156508116
5	0	14895174	qA1	gpos100	NA
5	14895174	16336643	qA2	gneg	NA
5	16336643	25465943	qA3	gpos66	NA
5	25465943	33634265	qB1	gneg	NA
5	33634265	35556223	qB2	gpos33	NA
5	35556223	50451398	qB3	gneg	NA
5	50451398	58619719	qC1	gpos33	NA
5	58619719	61022167	qC2	gneg	NA
5	61022167	71592936	qC3.1	gpos100	NA
5	71592936	73514894	qC3.2	gneg	NA
5	73514894	77839300	qC3.3	gpos66	NA
5	77839300	81683216	qD	gneg	NA
5	81683216	91293006	qE1	gpos100	NA
5	91293006	93695453	qE2	gneg	NA
5	93695453	99461327	qE3	gpos33	NA
5	99461327	101863775	qE4	gneg	NA
5	101863775	107629649	qE5	gpos33	NA
5	107629649	124927271	qF	gneg	NA
5	124927271	126849229	qG1.1	gpos33	NA
5	126849229	127810208	qG1.2	gneg	NA
5	127810208	130693145	qG1.3	gpos33	NA
5	130693145	146068809	qG2	gneg	NA
5	146068809	151834684	qG3	gpos33	151834684
6	0	16637394	qA1	gpos100	NA
6	16637394	21530745	qA2	gneg	NA
6	21530745	27402766	qA3.1	gpos100	NA
6	27402766	28381436	qA3.2	gneg	NA
6	28381436	34253458	qA3.3	gpos100	NA
6	34253458	41593485	qB1	gneg	NA
6	41593485	44529495	qB2.1	gpos66	NA
6	44529495	45997501	qB2.2	gneg	NA
6	45997501	50890852	qB2.3	gpos66	NA
6	50890852	62634895	qB3	gneg	NA
6	62634895	74378937	qC1	gpos100	NA
6	74378937	76825613	qC2	gneg	NA
6	76825613	86122980	qC3	gpos66	NA
6	86122980	94441677	qD1	gneg	NA
6	94441677	95909683	qD2	gpos33	NA
